Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($)
Samsung,Intel i7,64,1TB HDD,Nvidia GTX 1650,16.0,2560x1440,10.8,2.93,Linux,3389.25
Asus,AMD Ryzen 5,64,2TB SSD,Nvidia RTX 2060,17.3,1920x1080,6.8,2.73,macOS,2645.67
Samsung,AMD Ryzen 3,16,1TB HDD,Integrated,14.0,1920x1080,8.2,3.46,macOS,729.19
Microsoft,AMD Ryzen 7,8,256GB SSD,Nvidia RTX 2060,13.3,2560x1440,10.5,2.06,macOS,1441.98
Microsoft,Intel i5,32,1TB HDD,Integrated,16.0,3840x2160,4.5,2.21,macOS,1665.55
Dell,Intel i9,8,512GB SSD,Nvidia RTX 3060,15.6,1366x768,6.0,1.43,FreeDOS,1596.43
Razer,AMD Ryzen 5,4,256GB SSD,AMD Radeon RX 6600,13.3,3840x2160,8.1,1.24,Windows,2118.67
Samsung,Intel i7,64,1TB SSD,Nvidia RTX 3080,14.0,1920x1080,5.4,3.2,macOS,2945.67
Samsung,AMD Ryzen 3,64,1TB HDD,Nvidia RTX 2060,13.3,1920x1080,6.7,2.78,Windows,1649.06
Acer,AMD Ryzen 7,16,1TB SSD,Nvidia RTX 2060,17.3,3840x2160,7.4,2.22,Windows,2636.54
HP,Intel i3,16,256GB SSD,Nvidia RTX 2060,16.0,1366x768,7.4,1.68,Windows,961.2
Dell,Intel i7,64,256GB SSD,AMD Radeon RX 6600,17.3,1920x1080,6.4,2.48,FreeDOS,3311.34
Samsung,Intel i9,4,1TB HDD,AMD Radeon RX 6600,15.6,3840x2160,8.9,1.28,FreeDOS,2378.31
Samsung,AMD Ryzen 7,64,256GB SSD,Nvidia RTX 3080,15.6,1920x1080,4.9,1.63,Windows,3112.09
Dell,AMD Ryzen 3,64,512GB SSD,AMD Radeon RX 6600,14.0,2560x1440,11.3,1.45,Windows,2565.14
Asus,AMD Ryzen 3,16,1TB HDD,Nvidia RTX 3060,16.0,3840x2160,5.2,1.45,Linux,1432.06
MSI,Intel i9,8,1TB SSD,AMD Radeon RX 6800,16.0,3840x2160,4.7,3.15,macOS,3898.23
Acer,AMD Ryzen 9,16,256GB SSD,Nvidia GTX 1650,13.3,1366x768,9.7,2.63,Linux,1807.38
MSI,Intel i9,8,1TB HDD,AMD Radeon RX 6800,15.6,1920x1080,6.1,1.23,macOS,2020.27
Acer,AMD Ryzen 5,32,2TB SSD,Nvidia RTX 2060,15.6,1366x768,10.2,3.4,FreeDOS,1592.34
Asus,AMD Ryzen 3,16,2TB SSD,Integrated,17.3,3840x2160,10.8,1.62,Windows,1126.53
Acer,Intel i5,64,256GB SSD,Nvidia RTX 3060,16.0,3840x2160,12.0,1.91,Windows,4391.87
Lenovo,AMD Ryzen 7,8,512GB SSD,Nvidia RTX 3080,15.6,1920x1080,5.2,1.24,Windows,1522.47
HP,Intel i3,8,2TB SSD,Nvidia RTX 3060,13.3,1366x768,11.4,1.23,Windows,825.38
Razer,Intel i3,32,512GB SSD,AMD Radeon RX 6800,15.6,1366x768,11.7,2.78,FreeDOS,1695.51
Razer,AMD Ryzen 7,64,1TB SSD,AMD Radeon RX 6800,17.3,2560x1440,4.2,2.94,FreeDOS,5648.92
Lenovo,Intel i7,64,512GB SSD,AMD Radeon RX 6600,17.3,1366x768,8.1,2.76,Windows,2603.9
MSI,Intel i5,32,2TB SSD,Nvidia RTX 2060,16.0,1366x768,8.0,2.75,Windows,1954.47
Apple,AMD Ryzen 5,16,512GB SSD,Nvidia RTX 3080,16.0,1366x768,6.0,2.06,FreeDOS,1785.1
MSI,Intel i3,16,2TB SSD,Nvidia RTX 3080,17.3,1920x1080,6.8,1.46,macOS,1366.6
Samsung,Intel i9,16,1TB HDD,Nvidia GTX 1650,13.3,3840x2160,11.4,2.28,FreeDOS,2884.82
Samsung,Intel i5,16,2TB SSD,AMD Radeon RX 6600,17.3,1920x1080,11.9,2.83,macOS,1469.04
Microsoft,AMD Ryzen 7,64,1TB HDD,Nvidia RTX 3060,14.0,1366x768,10.9,1.53,Windows,1927.45
MSI,Intel i3,64,512GB SSD,Nvidia RTX 3060,17.3,1366x768,5.7,1.38,Linux,2354.67
Razer,Intel i7,64,2TB SSD,Nvidia RTX 3060,16.0,2560x1440,5.5,2.19,macOS,5522.57
Apple,AMD Ryzen 7,64,256GB SSD,Integrated,14.0,1366x768,9.0,2.29,Linux,2434.02
Acer,AMD Ryzen 3,64,1TB HDD,Nvidia GTX 1650,15.6,1366x768,5.2,2.76,Linux,1432.15
Acer,Intel i5,64,256GB SSD,Integrated,16.0,3840x2160,10.2,1.92,FreeDOS,2991.85
Dell,AMD Ryzen 5,64,256GB SSD,Nvidia RTX 3080,17.3,3840x2160,7.3,1.79,Windows,4234.48
Asus,AMD Ryzen 7,8,2TB SSD,Nvidia GTX 1650,13.3,3840x2160,8.1,2.06,macOS,2031.19
Dell,AMD Ryzen 7,32,1TB HDD,Integrated,17.3,2560x1440,6.6,1.81,Linux,1448.65
Microsoft,AMD Ryzen 3,8,2TB SSD,Nvidia GTX 1650,16.0,3840x2160,5.6,2.06,macOS,1447.33
Apple,AMD Ryzen 5,64,1TB SSD,Nvidia GTX 1650,17.3,1366x768,4.1,3.4,FreeDOS,3179.9
Asus,Intel i5,8,512GB SSD,Integrated,15.6,1920x1080,9.5,2.29,Windows,641.38
Acer,AMD Ryzen 7,32,512GB SSD,Nvidia RTX 3060,13.3,1920x1080,10.0,1.95,Linux,1935.01
Razer,Intel i5,64,1TB SSD,Nvidia RTX 2060,15.6,3840x2160,6.6,1.88,FreeDOS,6134.48
Acer,AMD Ryzen 7,8,512GB SSD,Nvidia RTX 2060,13.3,1366x768,10.7,1.84,macOS,1159.62
Apple,AMD Ryzen 5,64,512GB SSD,AMD Radeon RX 6800,16.0,2560x1440,10.9,3.48,macOS,4988.62
Lenovo,AMD Ryzen 3,32,1TB HDD,Integrated,17.3,1366x768,5.3,2.48,macOS,806.03
HP,AMD Ryzen 3,16,1TB HDD,Nvidia GTX 1650,15.6,1920x1080,9.0,2.11,FreeDOS,874.98
Lenovo,AMD Ryzen 5,4,2TB SSD,Nvidia RTX 3060,13.3,2560x1440,11.9,2.8,macOS,1104.41
Microsoft,AMD Ryzen 3,8,2TB SSD,AMD Radeon RX 6600,14.0,2560x1440,10.7,1.71,macOS,974.28
Asus,Intel i9,64,1TB SSD,Nvidia RTX 3080,17.3,1366x768,7.1,1.46,macOS,3717.81
Samsung,AMD Ryzen 3,32,256GB SSD,Integrated,15.6,1920x1080,5.9,2.75,FreeDOS,1064.93
Lenovo,AMD Ryzen 5,64,512GB SSD,Nvidia RTX 3080,13.3,1920x1080,9.3,2.52,macOS,2272.57
Lenovo,AMD Ryzen 9,8,1TB HDD,Nvidia RTX 3080,13.3,1920x1080,12.0,2.38,FreeDOS,1408.18
Asus,AMD Ryzen 9,16,512GB SSD,Nvidia GTX 1650,17.3,1920x1080,10.4,2.81,Windows,2102.34
Razer,AMD Ryzen 5,64,2TB SSD,Nvidia GTX 1650,16.0,3840x2160,11.9,2.89,macOS,5956.01
Samsung,Intel i5,16,2TB SSD,Integrated,14.0,2560x1440,7.9,2.42,Windows,1080.62
Dell,AMD Ryzen 3,16,512GB SSD,Nvidia RTX 2060,17.3,1366x768,9.9,2.94,Linux,1067.81
Razer,AMD Ryzen 3,16,512GB SSD,Integrated,13.3,1920x1080,11.9,2.86,FreeDOS,1007.75
Microsoft,Intel i7,32,256GB SSD,Nvidia GTX 1650,16.0,3840x2160,7.8,2.75,FreeDOS,3541.45
Samsung,AMD Ryzen 3,16,512GB SSD,Nvidia GTX 1650,16.0,1366x768,9.2,2.63,Windows,958.1
Acer,Intel i3,64,1TB HDD,AMD Radeon RX 6800,13.3,1366x768,11.9,1.51,Linux,1437.59
Acer,AMD Ryzen 5,4,256GB SSD,Integrated,13.3,2560x1440,4.7,2.95,FreeDOS,890.96
Asus,Intel i5,8,512GB SSD,AMD Radeon RX 6800,17.3,1366x768,10.6,2.37,FreeDOS,820.17
MSI,AMD Ryzen 3,4,1TB SSD,Nvidia GTX 1650,14.0,1920x1080,11.8,1.47,Linux,931.61
Razer,AMD Ryzen 7,8,512GB SSD,Nvidia RTX 2060,16.0,1920x1080,4.3,3.02,Linux,1774.06
Razer,Intel i3,4,512GB SSD,Integrated,14.0,3840x2160,8.5,3.43,FreeDOS,1105.0
Microsoft,AMD Ryzen 3,64,2TB SSD,Nvidia RTX 3080,15.6,2560x1440,11.9,1.65,macOS,2675.6
MSI,Intel i3,4,2TB SSD,Integrated,15.6,1920x1080,6.5,1.7,Windows,643.52
Apple,AMD Ryzen 7,32,1TB HDD,Nvidia RTX 3080,16.0,3840x2160,5.8,3.26,FreeDOS,4564.16
Lenovo,AMD Ryzen 5,32,1TB HDD,Integrated,13.3,1366x768,10.1,2.06,Windows,698.02
Dell,Intel i7,8,2TB SSD,Integrated,13.3,1920x1080,9.9,1.5,macOS,847.84
Lenovo,Intel i3,8,1TB SSD,Nvidia RTX 2060,14.0,2560x1440,8.2,3.09,FreeDOS,1067.72
Lenovo,Intel i5,32,1TB HDD,AMD Radeon RX 6600,17.3,2560x1440,11.4,2.96,macOS,1922.14
HP,AMD Ryzen 7,4,1TB HDD,Nvidia GTX 1650,15.6,3840x2160,5.6,2.62,Linux,1660.98
Microsoft,AMD Ryzen 5,16,256GB SSD,Nvidia GTX 1650,15.6,1920x1080,9.7,3.27,FreeDOS,1203.59
Dell,AMD Ryzen 3,64,256GB SSD,Nvidia RTX 3080,14.0,2560x1440,7.3,1.92,Windows,2376.75
HP,Intel i3,8,1TB SSD,Nvidia GTX 1650,15.6,1366x768,6.5,2.49,macOS,777.6
Asus,Intel i3,16,1TB SSD,AMD Radeon RX 6800,15.6,1920x1080,7.4,2.09,macOS,1179.4
Acer,AMD Ryzen 9,64,1TB HDD,AMD Radeon RX 6600,15.6,2560x1440,8.2,1.55,macOS,4486.71
MSI,Intel i5,64,1TB SSD,Nvidia GTX 1650,14.0,2560x1440,9.4,2.88,Windows,3735.42
Samsung,Intel i7,16,512GB SSD,Nvidia GTX 1650,13.3,2560x1440,11.1,3.4,Linux,1737.98
MSI,Intel i5,64,1TB HDD,Nvidia RTX 3060,15.6,2560x1440,9.4,1.42,macOS,3375.83
Samsung,AMD Ryzen 7,64,256GB SSD,AMD Radeon RX 6600,14.0,1920x1080,7.4,3.45,macOS,2969.84
Dell,AMD Ryzen 3,4,2TB SSD,Nvidia RTX 2060,16.0,3840x2160,9.4,2.05,FreeDOS,1325.01
Asus,Intel i5,16,1TB HDD,AMD Radeon RX 6600,15.6,2560x1440,9.9,3.31,FreeDOS,1274.11
MSI,AMD Ryzen 3,8,1TB HDD,AMD Radeon RX 6600,15.6,1366x768,12.0,3.04,macOS,993.03
HP,AMD Ryzen 9,8,1TB SSD,Nvidia GTX 1650,17.3,3840x2160,10.9,3.1,Linux,2940.98
Lenovo,AMD Ryzen 7,4,512GB SSD,AMD Radeon RX 6600,15.6,3840x2160,9.2,3.33,macOS,1990.47
Lenovo,AMD Ryzen 7,8,2TB SSD,AMD Radeon RX 6800,17.3,1366x768,5.4,2.16,Linux,1215.74
Lenovo,AMD Ryzen 9,16,2TB SSD,AMD Radeon RX 6600,17.3,3840x2160,8.4,2.23,macOS,3538.55
Apple,AMD Ryzen 5,32,2TB SSD,Nvidia GTX 1650,13.3,1366x768,5.6,2.21,Windows,2089.57
Lenovo,Intel i5,16,1TB SSD,AMD Radeon RX 6800,13.3,3840x2160,6.0,2.55,Linux,1846.32
MSI,Intel i3,16,1TB HDD,Nvidia RTX 3060,14.0,3840x2160,9.6,2.4,Linux,1848.65
Razer,Intel i7,64,256GB SSD,Nvidia RTX 3060,17.3,1920x1080,11.3,2.05,Windows,4666.5
Dell,Intel i3,16,1TB HDD,AMD Radeon RX 6800,14.0,1366x768,5.4,2.07,FreeDOS,665.36
Asus,AMD Ryzen 7,32,1TB HDD,Nvidia RTX 2060,17.3,3840x2160,8.2,1.67,Windows,2986.8
Lenovo,AMD Ryzen 7,4,512GB SSD,Integrated,13.3,1366x768,11.1,1.23,macOS,658.68
Apple,AMD Ryzen 7,32,2TB SSD,Nvidia RTX 2060,14.0,2560x1440,9.4,2.21,macOS,3821.1
MSI,Intel i9,64,512GB SSD,AMD Radeon RX 6600,14.0,1920x1080,5.2,2.55,Linux,4995.18
Microsoft,Intel i9,8,2TB SSD,Nvidia RTX 3080,17.3,1920x1080,9.7,2.08,Windows,1753.7
Asus,Intel i3,32,256GB SSD,Nvidia GTX 1650,17.3,2560x1440,4.2,2.32,macOS,1875.65
Apple,AMD Ryzen 9,8,512GB SSD,AMD Radeon RX 6600,15.6,1366x768,8.5,1.79,FreeDOS,2318.48
MSI,Intel i5,32,2TB SSD,Nvidia RTX 3080,16.0,2560x1440,10.4,2.13,Windows,2704.08
Microsoft,Intel i7,16,2TB SSD,AMD Radeon RX 6600,14.0,1920x1080,5.5,2.88,macOS,1473.24
Razer,AMD Ryzen 9,8,2TB SSD,Nvidia RTX 3080,15.6,1920x1080,9.4,3.39,FreeDOS,2451.72
Microsoft,Intel i5,16,1TB HDD,Nvidia RTX 2060,14.0,2560x1440,4.9,2.42,FreeDOS,1407.13
Lenovo,AMD Ryzen 9,8,1TB SSD,Integrated,17.3,1366x768,5.9,1.44,macOS,901.67
HP,Intel i3,4,512GB SSD,Nvidia GTX 1650,17.3,2560x1440,11.3,2.56,FreeDOS,946.85
Microsoft,Intel i7,32,512GB SSD,Nvidia GTX 1650,17.3,2560x1440,8.6,2.95,macOS,2608.85
HP,Intel i5,8,1TB SSD,Nvidia GTX 1650,14.0,2560x1440,11.5,1.25,Linux,1333.69
MSI,AMD Ryzen 7,8,1TB SSD,Nvidia RTX 2060,16.0,1366x768,4.6,1.38,FreeDOS,1515.3
Microsoft,AMD Ryzen 9,16,1TB HDD,AMD Radeon RX 6800,14.0,3840x2160,4.4,2.51,macOS,2619.1
Lenovo,Intel i7,64,256GB SSD,Nvidia RTX 2060,15.6,2560x1440,7.6,3.19,Linux,3994.12
Razer,AMD Ryzen 7,32,256GB SSD,Nvidia RTX 3080,16.0,3840x2160,10.7,1.7,macOS,5173.63
Dell,AMD Ryzen 9,4,512GB SSD,Nvidia GTX 1650,13.3,3840x2160,5.0,2.79,Linux,2417.09
Acer,Intel i3,8,2TB SSD,AMD Radeon RX 6600,13.3,1920x1080,7.3,1.9,macOS,789.77
Microsoft,AMD Ryzen 5,4,2TB SSD,Nvidia RTX 2060,15.6,3840x2160,6.8,3.27,macOS,1507.95
Dell,AMD Ryzen 9,4,1TB SSD,AMD Radeon RX 6600,16.0,1366x768,7.9,2.4,macOS,1432.23
Acer,AMD Ryzen 7,8,2TB SSD,AMD Radeon RX 6800,17.3,1920x1080,5.2,1.6,Linux,1415.57
Apple,Intel i9,4,2TB SSD,AMD Radeon RX 6800,16.0,3840x2160,5.0,1.31,Windows,4173.41
MSI,AMD Ryzen 9,16,1TB SSD,AMD Radeon RX 6800,15.6,2560x1440,10.8,2.54,FreeDOS,3421.02
Apple,AMD Ryzen 3,16,2TB SSD,Integrated,14.0,1920x1080,6.3,1.5,macOS,874.2
Razer,AMD Ryzen 5,64,512GB SSD,Nvidia RTX 3080,14.0,1920x1080,6.1,2.2,FreeDOS,3272.01
Lenovo,AMD Ryzen 3,64,1TB SSD,Nvidia GTX 1650,15.6,3840x2160,11.8,2.89,macOS,3530.16
Lenovo,Intel i5,32,1TB HDD,Integrated,15.6,1920x1080,5.8,1.2,Linux,972.6
Samsung,AMD Ryzen 9,4,256GB SSD,Nvidia RTX 2060,16.0,2560x1440,5.8,3.26,FreeDOS,2048.55
Apple,AMD Ryzen 3,16,512GB SSD,AMD Radeon RX 6600,15.6,1366x768,6.9,1.68,macOS,1414.25
Acer,Intel i5,8,512GB SSD,Nvidia RTX 2060,16.0,3840x2160,9.8,2.13,macOS,1784.03
Lenovo,Intel i3,16,512GB SSD,Nvidia RTX 3060,16.0,2560x1440,5.9,1.48,macOS,1524.16
Lenovo,Intel i3,64,1TB SSD,Integrated,14.0,1920x1080,4.6,2.2,FreeDOS,1313.41
HP,AMD Ryzen 9,8,1TB SSD,AMD Radeon RX 6800,15.6,1920x1080,9.4,3.01,macOS,1746.85
HP,Intel i9,4,2TB SSD,Nvidia GTX 1650,15.6,2560x1440,9.1,3.47,Linux,1950.11
Dell,Intel i7,8,512GB SSD,AMD Radeon RX 6600,14.0,2560x1440,5.6,3.22,Linux,1449.27
Razer,Intel i5,8,512GB SSD,AMD Radeon RX 6600,15.6,1366x768,7.4,3.15,Windows,1219.35
Asus,Intel i7,64,512GB SSD,Nvidia GTX 1650,15.6,2560x1440,7.7,2.49,FreeDOS,4050.54
MSI,Intel i3,32,1TB HDD,AMD Radeon RX 6800,16.0,2560x1440,5.0,2.04,macOS,1876.96
Apple,Intel i3,64,512GB SSD,Nvidia RTX 3080,17.3,3840x2160,4.0,3.08,FreeDOS,5531.83
Microsoft,Intel i5,32,256GB SSD,AMD Radeon RX 6600,13.3,3840x2160,4.6,1.22,Windows,2493.61
Dell,Intel i9,16,512GB SSD,Nvidia RTX 2060,13.3,3840x2160,4.9,1.65,FreeDOS,3439.35
MSI,AMD Ryzen 9,32,1TB HDD,Nvidia RTX 3060,15.6,1920x1080,4.3,2.4,FreeDOS,3239.04
MSI,AMD Ryzen 7,8,2TB SSD,Nvidia RTX 3080,16.0,1366x768,8.0,3.23,Linux,1380.03
HP,Intel i7,8,2TB SSD,Nvidia GTX 1650,15.6,3840x2160,11.8,2.66,Linux,2389.37
Lenovo,AMD Ryzen 9,16,256GB SSD,AMD Radeon RX 6800,16.0,2560x1440,6.6,1.99,FreeDOS,2723.25
Razer,AMD Ryzen 5,64,1TB SSD,Nvidia RTX 3060,15.6,2560x1440,10.7,3.05,macOS,4627.19
Microsoft,AMD Ryzen 5,32,1TB HDD,Nvidia RTX 3080,16.0,1366x768,9.8,1.77,FreeDOS,1138.6
Apple,Intel i7,4,1TB HDD,Nvidia RTX 3080,17.3,2560x1440,10.5,1.83,Linux,2024.63
Lenovo,Intel i3,64,512GB SSD,Nvidia GTX 1650,15.6,3840x2160,10.0,1.49,Linux,3554.92
Samsung,AMD Ryzen 3,32,1TB SSD,AMD Radeon RX 6600,16.0,2560x1440,5.4,2.21,Linux,1821.3
Dell,AMD Ryzen 9,4,1TB SSD,AMD Radeon RX 6600,15.6,1366x768,10.9,3.49,FreeDOS,1498.27
Apple,AMD Ryzen 3,8,256GB SSD,Nvidia RTX 2060,17.3,2560x1440,6.7,2.2,Windows,1814.56
Razer,AMD Ryzen 7,64,2TB SSD,Integrated,17.3,1366x768,8.9,1.8,FreeDOS,2653.1
Lenovo,AMD Ryzen 7,4,1TB SSD,Integrated,15.6,1920x1080,9.1,2.04,macOS,951.16
Acer,AMD Ryzen 9,32,2TB SSD,AMD Radeon RX 6800,16.0,2560x1440,10.6,2.03,Linux,3728.24
Lenovo,AMD Ryzen 5,8,1TB HDD,Integrated,15.6,3840x2160,5.4,2.43,Linux,1036.59
Dell,Intel i9,16,1TB HDD,AMD Radeon RX 6800,16.0,1366x768,8.1,1.43,macOS,1420.11
Microsoft,Intel i7,4,1TB SSD,AMD Radeon RX 6600,13.3,3840x2160,6.3,3.48,Linux,1784.79
Apple,AMD Ryzen 9,16,2TB SSD,Nvidia RTX 3060,16.0,1920x1080,5.3,2.21,Windows,3350.83
Dell,Intel i7,64,2TB SSD,AMD Radeon RX 6600,15.6,1366x768,4.9,1.34,macOS,2661.65
Razer,AMD Ryzen 7,8,1TB HDD,AMD Radeon RX 6600,13.3,1920x1080,9.2,1.9,macOS,1326.94
Samsung,Intel i3,16,512GB SSD,AMD Radeon RX 6600,13.3,2560x1440,10.7,3.29,FreeDOS,1232.46
Apple,AMD Ryzen 5,16,512GB SSD,AMD Radeon RX 6800,16.0,1366x768,10.6,1.81,FreeDOS,1645.78
MSI,AMD Ryzen 3,64,512GB SSD,AMD Radeon RX 6800,15.6,1366x768,9.9,2.36,FreeDOS,2219.17
HP,AMD Ryzen 7,8,256GB SSD,Nvidia RTX 3080,14.0,3840x2160,9.7,2.65,Windows,2015.62
MSI,Intel i3,8,1TB SSD,AMD Radeon RX 6800,14.0,3840x2160,8.9,3.1,FreeDOS,1871.98
HP,AMD Ryzen 5,8,1TB SSD,Nvidia RTX 3080,15.6,2560x1440,9.4,2.7,FreeDOS,1435.6
HP,AMD Ryzen 3,8,1TB SSD,AMD Radeon RX 6600,16.0,1920x1080,9.1,1.83,FreeDOS,845.35
MSI,AMD Ryzen 9,16,256GB SSD,Nvidia GTX 1650,17.3,3840x2160,7.0,1.36,Linux,4694.81
HP,Intel i9,16,1TB HDD,AMD Radeon RX 6600,13.3,1920x1080,8.2,2.5,Windows,1691.29
Razer,Intel i9,8,256GB SSD,Nvidia GTX 1650,15.6,2560x1440,9.4,3.08,macOS,3283.91
Lenovo,Intel i7,32,512GB SSD,Nvidia RTX 3060,15.6,1920x1080,8.6,1.52,macOS,2291.01
Asus,Intel i9,64,512GB SSD,Nvidia RTX 2060,13.3,1920x1080,7.8,1.88,FreeDOS,3822.13
Microsoft,Intel i7,64,512GB SSD,Nvidia GTX 1650,16.0,1920x1080,9.4,2.8,FreeDOS,3198.8
Razer,Intel i3,4,512GB SSD,Nvidia RTX 3060,17.3,1920x1080,9.5,1.89,macOS,1173.52
Razer,AMD Ryzen 7,32,256GB SSD,Integrated,16.0,1920x1080,6.1,3.22,Windows,2177.98
MSI,Intel i3,16,1TB HDD,Nvidia RTX 3060,17.3,3840x2160,10.8,2.46,macOS,1963.59
MSI,Intel i3,32,1TB HDD,Nvidia GTX 1650,14.0,2560x1440,8.0,2.9,Linux,1747.91
Dell,AMD Ryzen 5,16,256GB SSD,Integrated,16.0,1920x1080,5.0,1.36,macOS,823.77
Dell,Intel i7,8,256GB SSD,Nvidia RTX 2060,17.3,1920x1080,11.0,1.23,Windows,1409.28
Lenovo,Intel i9,16,1TB HDD,AMD Radeon RX 6600,17.3,1366x768,8.8,1.49,FreeDOS,1671.21
Acer,Intel i7,16,1TB SSD,AMD Radeon RX 6600,14.0,3840x2160,4.2,2.97,Windows,2552.93
Samsung,AMD Ryzen 3,16,2TB SSD,AMD Radeon RX 6800,16.0,3840x2160,5.0,2.87,macOS,1762.18
HP,Intel i9,16,1TB SSD,AMD Radeon RX 6600,13.3,2560x1440,5.5,1.4,FreeDOS,2570.89
Asus,Intel i7,16,1TB HDD,Nvidia RTX 3080,13.3,1366x768,10.0,2.28,FreeDOS,979.07
Dell,AMD Ryzen 9,4,2TB SSD,Integrated,15.6,3840x2160,8.7,2.69,Windows,1930.36
MSI,AMD Ryzen 9,32,2TB SSD,AMD Radeon RX 6800,17.3,2560x1440,7.5,3.15,Linux,4773.17
Asus,AMD Ryzen 7,64,2TB SSD,Integrated,14.0,1920x1080,7.2,1.42,macOS,1986.61
Razer,AMD Ryzen 3,8,512GB SSD,Nvidia GTX 1650,17.3,3840x2160,5.3,3.45,Linux,2202.38
Microsoft,Intel i3,64,512GB SSD,AMD Radeon RX 6600,13.3,2560x1440,11.0,3.22,Windows,2429.79
Samsung,AMD Ryzen 5,64,512GB SSD,Nvidia RTX 3080,17.3,1366x768,7.7,2.82,Linux,2307.03
Razer,Intel i7,32,1TB HDD,Nvidia GTX 1650,14.0,1366x768,7.5,1.86,macOS,1854.24
Samsung,AMD Ryzen 9,4,256GB SSD,Nvidia GTX 1650,17.3,3840x2160,7.7,2.93,FreeDOS,2628.97
Dell,Intel i5,4,512GB SSD,Nvidia RTX 3060,17.3,2560x1440,5.6,2.2,Windows,1281.4
Lenovo,AMD Ryzen 9,4,1TB HDD,Nvidia GTX 1650,17.3,3840x2160,9.4,3.24,macOS,2249.8
Microsoft,AMD Ryzen 7,4,2TB SSD,Nvidia GTX 1650,13.3,1366x768,11.3,3.41,macOS,1080.31
MSI,AMD Ryzen 3,16,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,6.2,1.22,macOS,2139.88
MSI,AMD Ryzen 9,4,1TB HDD,Nvidia RTX 3060,16.0,1920x1080,5.5,2.9,Windows,1933.15
Apple,AMD Ryzen 3,32,1TB SSD,Nvidia RTX 3060,15.6,2560x1440,11.5,3.39,FreeDOS,2742.02
Apple,AMD Ryzen 7,32,1TB SSD,AMD Radeon RX 6600,15.6,3840x2160,8.2,2.42,macOS,5350.98
HP,Intel i3,64,512GB SSD,AMD Radeon RX 6600,14.0,2560x1440,8.2,1.57,Windows,2376.1
Dell,AMD Ryzen 7,64,2TB SSD,Nvidia RTX 3060,17.3,1920x1080,8.1,3.5,macOS,3305.47
MSI,Intel i5,32,512GB SSD,Nvidia RTX 2060,13.3,3840x2160,5.9,3.11,Windows,3334.6
Samsung,AMD Ryzen 3,32,1TB HDD,Nvidia RTX 3060,13.3,3840x2160,9.5,3.14,FreeDOS,1882.97
Apple,Intel i7,32,2TB SSD,Nvidia RTX 2060,13.3,2560x1440,11.8,2.88,Windows,3635.91
MSI,AMD Ryzen 9,32,2TB SSD,Integrated,17.3,1920x1080,11.0,1.84,Windows,2526.3
Microsoft,AMD Ryzen 7,4,256GB SSD,Nvidia GTX 1650,16.0,1366x768,7.9,3.32,FreeDOS,1099.26
Lenovo,Intel i5,16,512GB SSD,Nvidia RTX 3080,15.6,2560x1440,4.1,2.89,Linux,1572.68
Microsoft,Intel i7,32,256GB SSD,AMD Radeon RX 6800,15.6,2560x1440,10.6,2.95,FreeDOS,2649.27
Apple,Intel i3,64,1TB HDD,Nvidia RTX 3080,16.0,1366x768,9.1,2.94,FreeDOS,2366.15
Lenovo,AMD Ryzen 7,4,2TB SSD,AMD Radeon RX 6800,14.0,3840x2160,11.9,3.2,Linux,1874.97
Razer,AMD Ryzen 7,32,512GB SSD,Nvidia RTX 3080,13.3,1366x768,5.8,2.97,Windows,2192.3
Acer,Intel i3,4,1TB HDD,AMD Radeon RX 6600,15.6,1366x768,7.3,1.81,FreeDOS,463.4
HP,AMD Ryzen 7,4,512GB SSD,Integrated,13.3,2560x1440,9.0,1.8,FreeDOS,913.12
Asus,Intel i7,4,1TB HDD,Integrated,17.3,2560x1440,5.1,2.71,Linux,1026.74
Razer,AMD Ryzen 3,4,1TB SSD,AMD Radeon RX 6600,13.3,3840x2160,11.3,1.79,macOS,1734.74
HP,AMD Ryzen 9,16,1TB HDD,AMD Radeon RX 6600,17.3,1366x768,9.8,2.24,macOS,1500.12
Apple,Intel i3,16,256GB SSD,Nvidia RTX 3080,17.3,2560x1440,5.5,1.96,Linux,2113.57
Apple,Intel i7,4,1TB SSD,Nvidia RTX 3080,16.0,2560x1440,4.2,2.7,Linux,2277.8
Microsoft,Intel i3,16,1TB SSD,Integrated,13.3,1920x1080,6.1,2.19,Windows,573.15
Lenovo,Intel i5,16,256GB SSD,Nvidia RTX 3080,17.3,3840x2160,7.9,2.2,Linux,2072.95
MSI,AMD Ryzen 3,16,1TB SSD,Nvidia RTX 2060,17.3,2560x1440,10.6,2.45,macOS,1818.39
Microsoft,Intel i5,16,256GB SSD,Nvidia GTX 1650,16.0,1366x768,8.3,2.46,Windows,1008.76
MSI,AMD Ryzen 9,8,1TB HDD,AMD Radeon RX 6600,13.3,3840x2160,5.2,2.03,FreeDOS,2942.94
Acer,Intel i5,4,1TB SSD,Nvidia RTX 3060,16.0,3840x2160,6.2,3.36,FreeDOS,1594.46
HP,AMD Ryzen 5,16,1TB SSD,AMD Radeon RX 6800,13.3,3840x2160,9.2,2.28,Windows,1968.05
Apple,AMD Ryzen 5,64,2TB SSD,Nvidia RTX 2060,14.0,1366x768,7.3,2.12,macOS,2861.13
